userName,score,at,content
Danapi Irawan,1,2024-09-28 17:42:16,"Kalau buat aplikasi yang bener dong,,,masak mau beli eror2 trus setelah normal tiket tinggal 1 kursi,,,,kasihan orang tua kalau kaya gini terus,,,,mending di ubah saja belinya distasiun,,,,kecewa bgt aku"
Syahril Maulana,1,2024-09-28 17:37:41,"Apa ini,pas hari kamis malam sama minggu malam jadwal sering gak ada."
Oldiano Tito,2,2024-09-28 17:22:34,Kurang nyaman sering lag
Aditya Scumbag,1,2024-09-28 17:20:20,Kureeeeng!
Afi Fatus,3,2024-09-28 17:19:45,"Tolong dong diupgrade servernya, sering banget down room tiket lokal terutama pas weekend."
Novita Anggraini Putri,1,2024-09-28 17:17:11,jelek sering error
Sola Fudin,1,2024-09-28 17:16:54,apk lelet
Intan Mujiarnita,1,2024-09-28 17:16:28,"pesan kereta lokal saya pilih byr via qris, ketika unduh qris selalu time out, tidak hanya sekali, setiap minggu sy pesan ketika unduh qris selalu time out, alhasil setiap minggu tidak pernah dpt tiket, tolong diperbaiki, thx"
Raga Ganteng,1,2024-09-28 17:15:33,tolong diperbaiki
Rudi Taufik,1,2024-09-28 17:15:26,"Pesan tiket kereta lokal awalnya time out karena jaringan kurang optimal, setelah di coba lagi kok jadwal keberangkatannya ngga ada?!, padahal barusan ada.. ANEH"
Daniela Elssa,1,2024-09-28 17:10:54,"Nyebelin banget aplikasinya yang sekarang. Sering error padahal dulu nggak begini. Mau pesen tiket dari malem sampai pagi ndak bisa. Alasannya time out, dicoba lagi alasannya servernya sibuk, dicoba lagi malah tulisannya ups jadwal tidak ditemukan. Ujug²nanti kehabisan tiket. Tolong segera diperbaikiiii🙏🏽🙏🏽🙏🏽"
achandra -,1,2024-09-28 17:08:50,"Buat apa sih aplikasi diupgrade tapi tidak memberikan perubahan dan kemajuan yg signifikan. Yg ada makin lemot, sumpah aplikasi KAI gak membantu sama sekali"
Moch Zainal Abidin,1,2024-09-28 17:06:43,aplikasi jelek kebanyakan eror
Putridyna Putri,1,2024-09-28 17:05:48,"Payah payah dan payah, login aja di persulit 👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎🤲👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎"
KRICK !,1,2024-09-28 17:05:43,"Saya beli pulsa 2x 25k lewat KAI access, saldo kepotong, pulsa tidak masuk, telfon call center pulsa berkurang tapi tidak ada jawaban, Saya kecewa!"
Wahyu Kasih Bunda,5,2024-09-28 15:44:43,Cepat dan aman
Shinosuke SE,1,2024-09-28 14:59:48,"Makin kesini kok tambah buruk. Dulu sih OK. Bln Agustus 2924 coba order tiket, gagal mulu krn time out. Pdhl sdh berusaha super kilat nge-klik nya. Sampe kuatir salah input krn kebanyakan kan ketik angka2 (masukin ktp, hp, pilih harga, pilih gerbong&kursi dst). Singkat crita, akhirnya bs order wlu hrs ngulang belasan kali (berkejaran dgn time out yg tiba2 menggagalkan transaksi). Tp hari ini makin parah.. input data ditolak trs pdhl udah sesuai prosedur. Jd boro2 bisa order,pilih kursi aja ga bs"
Afinna Risqiah,1,2024-09-28 13:48:17,Aplikasi penghabis anggaran negara. sangat kureng. sering error. CS lama balesnya.
Ro Up,1,2024-09-28 13:06:19,Bli pulsa.. gagal 3x. Pulsa hangus gk di kembali... Gmn ni tangguang jawab ... Exis15
Hiki,1,2024-09-28 12:08:34,Aplikasi aneh
Antok Wuryanto,1,2024-09-28 11:19:37,Aplikasi cacat
diyah lee,2,2024-09-28 10:54:56,5 kali masuk tapi engga Bisa akses akses .. 😭😭😭
Istiqomah Istiqomah,1,2024-09-28 10:49:59,"Aplikasi banyak erornya, untuk beli tiket lokal harus war kalau untuk hari libur Saat sudah masuk aplikasi giliran beli tiket Server error... Ampun ampun"
ABD WACHID,1,2024-09-28 10:25:19,Loading nya lama banget.. Kadang suka berhenti sendiri.. Tolong di tingkat kan ya sistemnya.
Agus W,1,2024-09-28 09:01:37,Kembalikan metode pembayaran QRIS untuk beli tiket KA Lokal
Fuad Hasan,1,2024-09-28 08:42:19,"APLIKASI BUSUK BELI TIKET BAYAR PAKE QRIS KODE NYA GA MUNCUL MUNCUL, MANA SEKARANG LEMOT BANGET PAKE WIFI ATAU PAKE DATA SAMA AJA, BUMN PALING AMPAS!!"
Yusuf Setiawan,5,2024-09-28 08:23:02,Best
Arip Zaenul Pajar,1,2024-09-28 08:21:00,Bagusan yng sebelum upgrade. App makin berat
chrry bear,2,2024-09-28 07:26:36,berkali kali aplikasi ini eror and i have no choice kalau aplikasi nya lg eror dan ga bisa pesen tiket selain pesen tiket untuk kereta lokal secara langsung. berkali kali aku uninstall dan install kembali dan ya tetep aja ga ada perkembangan selalu aja ada masalah. very disappointed. saya harap kedepannya bisa diperbaiki menjadi lebih baik.
Nana Mardiana,2,2024-09-28 07:20:03,Kenapa di aplikasi saya tidak ada untuk pembelian tiket lrt ya?
Fahri Kusuma,1,2024-09-28 06:23:34,"Ini yg gw benci bgt, kenapa kalian gak improve si kenapa selalu bikin susah, apalagi pendaftaran yg pake kartu pelajar itu knp kagak bisa"
Fannan Fauzan Fardhurohman,1,2024-09-28 05:45:56,"Mempersulit pembayaran, tambah pembayaran via debit dong"
joko wahyudi,1,2024-09-28 04:36:27,"Gagal akses akun nya ,dan daftar nya berkali² gagal , lebih baik down upgrade aja , balikin update nya yg dulu"
nurma selly,1,2024-09-28 04:08:03,"Aplikasi yang menyusahkan pengguna, Mau pesan ga bisa harus upgrade member pas mau upgrade kaga bisa lagi :"")"
Rani Fatilah,3,2024-09-28 03:25:42,"Pembayarannya error terus udh pilih shopee tp loading pake qris sempet erroe bbrp kali, pake dompet kai udh top up eh lama masuknya alhasil pas udh bisa d bayar pake qris eh malah masuk saldonya smg nanti d perbaiki lg system pembayarannya"
irman irman,5,2024-09-28 03:18:55,Bagus
Rian Abdurahman,1,2024-09-28 03:13:46,"Woy napa gagal mulu tiap mau bayar pake shopeepay, benerin lah cooooookk"
Khotibul Umam,1,2024-09-28 01:07:18,"Kalo emang ada fitur asuransi refund 100% yg harus di implementasikan lah, kog msih kepotong 20%, ngapain ada fitur nya suruh bayar klo g fungsi,"
Alam Nation,3,2024-09-28 00:30:14,Kenapa kereta lokal Rangkas merak ngga ada di kereta lokal? Sewaktu itu masih ada. Tolong dibenerin
Shatryo Blacksmit,4,2024-09-27 23:54:47,Di pembayaran susah banget tinggal bayar aja muter muter mulu trus padahal wifi saya bagus jaringan nya ganti data sama aja apl nya perbaiki kai mau beli tiket Kreta susah amat naik lain nya aja klo lemot
Angga Satria,5,2024-09-27 23:43:22,memudahkan kita tuk pesan tiket kereta JD ga harus antri mantap lah Poko y'
Elroyeni Mariana,1,2024-09-27 23:31:07,"sudah beli 2 tiket untuk tujuan berbeda di apk, tapi yang muncul tiketnya cuman 1 tiket tujuan kenapaa ini apk KAI(?)"
rama,1,2024-09-27 23:09:59,Nyusahin rakyat apk banyak eror gini gk pernah diperbaiki
Bagus Irawan,1,2024-09-27 23:08:30,Tidak bisa login trss
Ayay monsieur,1,2024-09-27 23:06:12,"Kai anj udah bayar asuransi pembatalan perjalanan, pas di bagian tetep aja kena potongan."
Unay Hanifah Khansa Azizi,1,2024-09-27 22:37:31,Aplikasi tdk bisa digunakan. Tdk bisa login dan beli tiket
Joko Wi,1,2024-09-27 19:00:22,Error teros isinya
Sucipto,1,2024-09-27 15:34:43,"Mohon di teliti lagi ,syaa pesen tiket jayakarta tgl 27 sept 2024 kursi pre 1 no kursi 21 A & dan 21 B , ternyata kursi tersebut gak ada ,kursinya cuma sampai 20 , jadi ribet & gak nyaman duduk di kursi orang + istri saya lagi hamil 😌 duduknya gak nyaman pindah pindah milih kursi yg kosong ..sedih beli tiket 2 tpi gk dapat tempat duduk 😌"
relly erlinda,1,2024-09-27 12:38:40,Mau pesan tiket time out terus
Devi Widya,1,2024-09-27 12:30:55,"Beberapa kali sudah install ulang tapi akun tidak bisa login, padahal email dan password sudah benar. Sampai reset password berkali kali juga malah ada notif fail mulu. Gimana nih solusinya kok ga bisa login mulu"
Flavianus Dui Saverino,1,2024-09-27 11:30:48,"Mau pesan aja ribet pake jadi member, sudah gitu daftar member malah muncul too many request"
M. SaVii,2,2024-09-27 10:00:44,Kenapa tidak bisa mencetak ulang boarding pass seperti traveloka?
intan amani,1,2024-09-27 09:44:08,"Kesel banget pesen tiket udah ubah kursi biar bisa barengan sama kluarga,, malah tiba"" Gerbong nya ke rubah lagi,, udah langsung komplain malah harus di potong 25% klo ganti kursi"
Kirana Dinda,1,2024-09-27 09:21:39,"Tolong ini, knapa sekarang ga bisa pilih kursi ya? Biasanya bepi tiket H-7 sudah bisa&bisa pilih kursi... Hr ini ga bisa pilih kursi, otomatis dr sistem langsung 😡"
woofgang,1,2024-09-27 08:53:06,"H-2 jam sering banget tertulis ""masih tersisa x kursi"" tapi pas dicheckout ""no seat available"". BANGKE!!!"
Mila Ifa,1,2024-09-27 08:00:28,sering eror aplikasinya
Ahmad Taufik,2,2024-09-27 08:00:00,Top Up di KAI pay dari pagi sampe sore belum masuk juga saldonya gimana ya
lord darkness,1,2024-09-27 06:18:47,jadwal kereta ga sesuai ni gimana ceritanya
Fadli Fadli,1,2024-09-27 04:25:24,"Min aplikasinya setelah upgrade malah susah untuk pesan tiket, kadang gagal tiba tiba ditengah proses pesan tiket dari proses awal memilih kereta hingga pembayaran Mohon di perbaiki segera"
Alif Anas,1,2024-09-27 03:05:50,Login nggak bisa bisa telat terus
Si Nona,4,2024-09-27 02:13:06,Kenapa gak ada pembelian tiket lrt ?
Fabian Pradipta,5,2024-09-26 23:04:35,Oke
ARDY PRODUCTION,1,2024-09-26 22:22:06,Aplikasi nggak jelas. Mau bayar kok susah
Husnul Hotijah,5,2024-09-26 17:24:39,"Bad banget login aja gk bisa"" udah berulang kali klik masuk tapi gk ada yang berubah masih tetep dihalaman login, gk habis pikir kok sekarang aplikasinya jadi gini padahal dulu lancar"" aja."
Muhammad Putro Nur Rosyid,1,2024-09-26 15:44:26,"App ga guna, bayar pake atm gabisa, pake shopeepay gabisa, brimo gabisa Tau2 kursi yg sebelumnya di booking ga bisa lagi di booking"
Defita Puspa Ningrum,1,2024-09-26 15:03:48,"beli tiket kereta api lokal sering error, susah sekali dapat tiket. mana belinya harus h-7, rebutan pula, ehhh malah gangguan terus. kadang jadwal tidak muncul, kadang sudah dapat kursi tinggal bayar tiba tiba gak bisa, yang paling parah nih kalo udah keluar dari halaman pembayaran, QRIS GAK BISA DILIHAT LAGI. tolong ini diperbaiki."
Sofiyudin Ali,1,2024-09-26 13:48:40,"Ini apk kok jadi gini padahl waktu dulu aman2 ajh ini top up saldo malah ga masuk masuk, perbaiki napa njirr"
Aji Ahmad,1,2024-09-26 11:07:19,Ini aplikasi gak jalan kah? Gak bisa pesan saya gmna mau balik
Tijarotan Lan Tabur,2,2024-09-26 09:21:31,Untuk proses refundnya terlalu lama
Trijoko Koko Koko Trijoko,5,2024-09-26 08:05:54,"Mantap bepergian jadi mudah ,tidak susah lagi membeli tiket KA dan bisa tahu jadwal keberangkatan KA"
E MUAMAR S,1,2024-09-26 06:58:51,"Parah isi saldo kai melalui mobile banking ""bank lain"" kok adminnya tidak ditampilkan berapa. Tidak transparan dan lelet pula."
Yaz Official,1,2024-09-26 03:53:33,"Seperti apk pemerintahan lain nya JELEK... kurang optimal, tiket gak lengkap, mau ganti jadwal pemberangkatan gak bisa bisa, gak bisa ganti jadwal kalo gak ada nama yg punya aplikasi nya di waktu perjalanan itu....sadar diri bapak2 yg disana, gimana mau Indonesia emas ditahun 2045 kalo gini cara nya"
Kevin Sebastian,1,2024-09-26 03:25:23,sering loading ga jelas
Nurul Fitria,1,2024-09-26 02:42:47,Mines banget Baru awal pendaftaran akun sampe pembayaran gak ada yang beres.
Wahid Abdullah,1,2024-09-26 01:13:42,"Batalin tiket ga bisa, Reschedule ga bisa, fungsi menu tsb apa jadinya"
Hidayatul Muawanah,1,2024-09-26 01:09:33,"gimana skh mau beli tiket tulisannya tersedia tp setiap mau pilih kursi langsung muncul kadaluwarsa kadaluwarsa pdhl juga barusan pesennya ngga yg lama jdi hrs ngulang"" trs ga kebeli"" tiketnya tolong dong antara estimasi waktu nya dibenarkan lagi"
Adam Muhammad R,3,2024-09-26 00:28:19,Untuk Pesanan tiket commuter Line untuk 2 orang/lebih blum bisa ya ?
Hello,2,2024-09-26 00:23:40,Gampang trouble
Muhamad Baharudin Nurfajri,1,2024-09-25 23:20:20,"Tolonng developer aplikasi ini suruh tingkatin pemrosesan data, terutama data top up. Jangan sampai sudah top up,alah ketinggalan kereta. T*l*l"
Luna Alyssa,1,2024-09-25 22:47:06,Ribet banget mau refund gak bisa ganti jadwal gak bisa sesat aplikasi tailah
Andri Ronianto,1,2024-09-25 22:27:04,"parah banget ini aplikasi masa iya mau ganti perubahan jadwal aja ngga bisa, terus harus di batalin dulu, giliran di batalin uang belum balik balik juga gimana ini"
Wahyu Sanjaya,1,2024-09-25 15:14:50,Yang bener bikin aplikasi sering error dan lama proses topupnya
Desy Nurul hidayati,1,2024-09-25 14:27:53,Tiap pembyaran slalu gagal.makin kacau saja.di coba berkali2 tetep saja tidak bisa.
achmad rofii,1,2024-09-25 13:54:11,"Untuk aplikasi yang baru saat ini lemot,dan sering error"
Trohonk Jr,1,2024-09-25 13:43:26,Aplikasi GK jelas... masa setiap mau bayar tiket error terus...mana sampe kehabisan tiket pula... jangan didownload gaes
Sabri Variasi,1,2024-09-25 13:09:57,"Admin apk mohon di perbaiki lagi apk nya,masak setiap kali mesan tiket jadwal tidak tersedia mulu,jangan bilang maaf"" aja Tindak lanjuti dan perbaiki apk nya🤬🤬"
Rizki Alfajri,1,2024-09-25 12:24:25,aplikasi sering erroe
Miftahul Huda,2,2024-09-25 10:00:06,Saya belum pernah login tapi kenapa ada email tidak dikenal menggunakan nomor HP saya
Rabine Rabimu,1,2024-09-25 09:52:45,"Saya tidak bisa masuk no hp sudah di cantumkan tidak bisa klik melanjutkan untuk ketik pasword . Giliran daftar baru bisa . Hp android seri 13 ram 4 baru beli kemarin dengan harga 3,5juta ...cukup sekian dan terimah kasih."
Viera Aulia Kustiana,1,2024-09-25 09:38:35,"Isi pulsa gagal tapi saldo gabalik, belom lagi kalau topup suka ada potongan 2.500:("
raihan hafizh suharjo,1,2024-09-25 08:47:27,Aplikasinya sampah. Susah banget login. Padahal dah masukin KTP dan no hp yang valid . Mau daftar aplikasi buat segera pulang karena sakit ketika arus balik tapi daftar seharian ga bisa bisa. Akhirnya pulang besoknya karena kelamaan daftar.
Yahya Ramadhan,1,2024-09-25 08:36:28,"sering dipersulit, banyak kendala, alasan jaringan padahal jaringan kencang, terlalu buruk update baru ini, bukannya bagus malah jelek gini payah payah"
Dadang Wahyu PERMANA,5,2024-09-25 04:47:36,Ok
muhammad azam,5,2024-09-25 03:52:10,Bagus sangat membatu
Ima Salsa,1,2024-09-25 00:18:43,Jadwal sering tidak valid
Lizch Zaki,5,2024-09-25 00:03:48,"Orang yg kasih rating buruk keknya kudet ya, jelas2 dipakainya enak2 saja gaada kendala, UI sama Pembayarannya normal2 aja, mending orang2 kek gitu beli di loket stasiun aja kalo gabisa pakeknya, ribet ngasih rating jelek di apknya padahal gabisa pake nya alias KUDET, Aneh."
panji romy,5,2024-09-24 23:55:32,Apa bisa dikembalikan ke aplikasi yang lama?
Antonio Niguel,1,2024-09-24 23:40:38,Ati2 yg trnsaksi pke wallet kaipay (kaspro) Pesan tiket kereta & beli pulsa status berhasil tp tiket nya gagal & pulsa ndk msuk.. Saldo ttap kepotong.. MENGERIKAN !!!
